composition_A,composition_B1,composition_B2,Number of blocks,dpn,A1,B1,C1,A2,B2,C2,A3,B3,C3,A4,B4,C4,cLogP_predicted,Category,type_A_Boc-AEAm,type_A_DMAEA,type_B1_PEAm,type_B2_None,type_C_HEAm,type_C_None,type_C_PEGA
0.5,0.3,0.0,1,100,0.33299999999999996,0.33299999999999996,0.33399999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.6762999999999999,1,1,0,1,1,1,0,0
0.5,0.3,0.0,1,40,0.3325,0.3325,0.335,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.6762999999999999,1,1,0,1,1,1,0,0
0.5,0.3,0.0,1,20,0.32999999999999996,0.335,0.335,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.6762999999999999,1,1,0,1,1,1,0,0
0.7,0.3,0.0,1,100,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0527,0,1,0,1,1,0,1,0
0.7,0.3,0.0,1,40,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0527,1,1,0,1,1,0,1,0
0.7,0.3,0.0,1,20,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0527,0,1,0,1,1,0,1,0
0.5,0.3,0.0,2,100,0.5,0.0,0.2,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.6762999999999999,0,1,0,1,1,1,0,0
0.5,0.3,0.0,2,40,0.5,0.0,0.2,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.6762999999999999,0,1,0,1,1,1,0,0
0.5,0.3,0.0,2,20,0.5,0.0,0.2,0.0,0.3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.6762999999999999,0,1,0,1,1,1,0,0
0.5,0.3,0.0,3,100,0.25,0.0,0.1,0.0,0.3,0.0,0.25,0.0,0.1,0,0.0,0.0,0.6762999999999999,0,1,0,1,1,1,0,0
0.5,0.3,0.0,3,100,0.0,0.15,0.0,0.5,0.0,0.2,0.0,0.15,0.0,0,0.0,0.0,0.6762999999999999,0,1,0,1,1,1,0,0
0.7,0.3,0.0,2,40,0.7,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0527,0,1,0,1,1,0,1,0
0.7,0.3,0.0,2,20,0.7,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0527,0,1,0,1,1,0,1,0
0.5,0.3,0.0,2,100,0.5,0.0,0.0,0.0,0.3,0.2,0.0,0.0,0.0,0,0.0,0.0,0.6762999999999999,0,1,0,1,1,1,0,0
0.5,0.3,0.0,2,40,0.5,0.0,0.0,0.0,0.3,0.2,0.0,0.0,0.0,0,0.0,0.0,0.6762999999999999,1,1,0,1,1,1,0,0
0.5,0.3,0.0,2,20,0.5,0.0,0.0,0.0,0.3,0.2,0.0,0.0,0.0,0,0.0,0.0,0.6762999999999999,1,1,0,1,1,1,0,0
0.5,0.3,0.0,3,40,0.25,0.0,0.0,0.0,0.3,0.2,0.25,0.0,0.0,0,0.0,0.0,0.6762999999999999,1,1,0,1,1,1,0,0
0.5,0.3,0.0,3,40,0.0,0.15,0.1,0.5,0.0,0.0,0.0,0.15,0.1,0,0.0,0.0,0.6762999999999999,1,1,0,1,1,1,0,0
0.5,0.3,0.0,4,50,0.25,0.0,0.0,0.0,0.15,0.1,0.25,0.0,0.0,0,0.15,0.1,0.6762999999999999,1,1,0,1,1,1,0,0
0.5,0.3,0.0,4,50,0.25,0.0,0.0,0.0,0.15,0.1,0.25,0.0,0.0,0,0.15,0.1,0.6762999999999999,0,1,0,1,1,1,0,0
0.5,0.3,0.0,2,100,0.5,0.3,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0,0.0,0.0,0.6762999999999999,1,1,0,1,1,1,0,0
0.5,0.3,0.0,2,40,0.5,0.3,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0,0.0,0.0,0.6762999999999999,1,1,0,1,1,1,0,0
0.5,0.3,0.0,2,20,0.5,0.3,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0,0.0,0.0,0.6762999999999999,1,1,0,1,1,1,0,0
0.5,0.3,0.0,2,100,0.5,0.0,0.125,0.0,0.3,0.075,0.0,0.0,0.0,0,0.0,0.0,0.6762999999999999,0,1,0,1,1,1,0,0
0.5,0.3,0.0,2,40,0.5,0.0,0.125,0.0,0.3,0.075,0.0,0.0,0.0,0,0.0,0.0,0.6762999999999999,0,1,0,1,1,1,0,0
0.5,0.3,0.0,2,20,0.5,0.0,0.125,0.0,0.3,0.075,0.0,0.0,0.0,0,0.0,0.0,0.6762999999999999,0,1,0,1,1,1,0,0
0.5,0.3,0.0,3,40,0.5,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.2,0,0.0,0.0,0.6762999999999999,1,1,0,1,1,1,0,0
0.5,0.3,0.0,3,40,0.5,0.0,0.0,0.0,0.0,0.2,0.0,0.3,0.0,0,0.0,0.0,0.6762999999999999,0,1,0,1,1,1,0,0
